,soc,v
0,0.0,2.7284
1,0.08658008658008658,2.7686991749629803
2,0.17316017316017315,2.7951052428324488
3,0.2597402597402597,2.816509483464338
4,0.3463203463203463,2.8360175099916334
5,0.4329004329004329,2.852812025547984
6,0.5194805194805194,2.8686115511659063
7,0.6060606060606061,2.882812361088645
8,0.6926406926406926,2.8962137771884304
9,0.7792207792207793,2.90861586253289
10,0.8658008658008658,2.920317817207127
11,0.9523809523809523,2.931220256110248
12,1.0389610389610389,2.941721284001207
13,1.1255411255411256,2.95161893255471
14,1.2121212121212122,2.9613180769235954
15,1.2987012987012987,2.9703165400631577
16,1.3852813852813852,2.9789140513251047
17,1.471861471861472,2.9870135358896572
18,1.5584415584415585,2.994712426510755
19,1.645021645021645,3.00251041536836
20,1.7316017316017316,3.0099089835934074
21,1.8181818181818181,3.0171078759975978
22,1.9047619047619047,3.024209526432684
23,1.9913419913419914,3.030412109500164
24,2.0779220779220777,3.037212059322673
25,2.1645021645021645,3.043414196201166
26,2.2510822510822512,3.0493157811989975
27,2.3376623376623376,3.055214096259594
28,2.4242424242424243,3.061116146899916
29,2.5108225108225106,3.0664151116220784
30,2.5974025974025974,3.071915990613737
31,2.683982683982684,3.0772196618759855
32,2.7705627705627704,3.082518536518843
33,2.857142857142857,3.0874211457519323
34,2.943722943722944,3.0924172551284306
35,3.0303030303030303,3.097416883907847
36,3.116883116883117,3.102014050199904
37,3.2034632034632033,3.1067162670475734
38,3.29004329004329,3.1110171478730004
39,3.3766233766233764,3.1156164475451327
40,3.463203463203463,3.1197176118295604
41,3.54978354978355,3.1240225997576383
42,3.6363636363636362,3.128118753844374
43,3.722943722943723,3.132417874301352
44,3.8095238095238093,3.1361160414500944
45,3.896103896103896,3.1401211007317187
46,3.982683982683983,3.144218383843446
47,4.069264069264069,3.1476157255939827
48,4.1558441558441555,3.15161885755984
49,4.242424242424243,3.1553161210654936
50,4.329004329004329,3.1591166652713296
51,4.415584415584416,3.1625181129835167
52,4.5021645021645025,3.1656164164753013
53,4.588744588744588,3.169319555653379
54,4.675324675324675,3.1724159254256348
55,4.761904761904762,3.1758160537278033
56,4.848484848484849,3.179216609307713
57,4.935064935064935,3.1823156660788614
58,5.021645021645021,3.185719719637001
59,5.108225108225108,3.188813746037375
60,5.194805194805195,3.191615739678705
61,5.2813852813852815,3.1947223153501505
62,5.367965367965368,3.197819603464413
63,5.454545454545454,3.2006172365455714
64,5.541125541125541,3.2037203723072754
65,5.627705627705628,3.206215225557433
66,5.714285714285714,3.2090166342888526
67,5.800865800865801,3.2118196194227187
68,5.887445887445888,3.2145203743723223
69,5.974025974025975,3.2170213230286335
70,6.0606060606060606,3.219816320266083
71,6.147186147186147,3.2223167158336805
72,6.233766233766234,3.2248214348535864
73,6.320346320346319,3.2273169743666554
74,6.406926406926407,3.229420228877839
75,6.493506493506493,3.2322175932941506
76,6.58008658008658,3.234415503892233
77,6.666666666666667,3.2366194029600344
78,6.753246753246753,3.2387203950652927
79,6.8398268398268405,3.2412116859873916
80,6.926406926406926,3.2431174375514655
81,7.012987012987012,3.2449166922325556
82,7.0995670995671,3.2465167992613955
83,7.186147186147187,3.24861521219015
84,7.2727272727272725,3.249911769803595
85,7.35930735930736,3.251411108495479
86,7.445887445887446,3.2524116606097495
87,7.532467532467534,3.2536083257698625
88,7.619047619047619,3.254508543812915
89,7.7056277056277045,3.255200523311423
90,7.792207792207792,3.2561
91,7.878787878787878,3.2567133778618627
92,7.965367965367966,3.2576095785419548
93,8.051948051948052,3.2583
94,8.138528138528137,3.2589
95,8.225108225108226,3.2592008068147744
96,8.311688311688311,3.259500793538165
97,8.398268398268398,3.2601
98,8.484848484848486,3.2604007635329944
99,8.571428571428571,3.260700780757884
100,8.658008658008658,3.2614
101,8.744588744588745,3.2617
102,8.831168831168831,3.262
103,8.917748917748918,3.2623
104,9.004329004329005,3.2626
105,9.09090909090909,3.262901022086732
106,9.177489177489177,3.2632
107,9.264069264069263,3.2635010464144685
108,9.35064935064935,3.2638010314799035
109,9.437229437229437,3.2641013753065384
110,9.523809523809524,3.2648
111,9.61038961038961,3.2651
112,9.696969696969697,3.2654
113,9.783549783549784,3.2657
114,9.87012987012987,3.2663
115,9.956709956709958,3.266612141644914
116,10.043290043290042,3.2669
117,10.129870129870131,3.2672
118,10.216450216450216,3.2676
119,10.303030303030305,3.2679
120,10.38961038961039,3.2682
121,10.476190476190474,3.268501692956565
122,10.562770562770563,3.268801795173343
123,10.649350649350648,3.2694
124,10.735930735930737,3.2697
125,10.822510822510822,3.27
126,10.909090909090908,3.2703
127,10.995670995670997,3.2707
128,11.082251082251082,3.271
129,11.168831168831169,3.2713
130,11.255411255411255,3.2716
131,11.341991341991342,3.271902055502331
132,11.428571428571429,3.2722020983373827
133,11.515151515151516,3.2725021618347174
134,11.601731601731602,3.272802239947145
135,11.688311688311689,3.2734
136,11.774891774891776,3.2738
137,11.861471861471863,3.2741
138,11.94805194805195,3.2744
139,12.034632034632036,3.2747
140,12.121212121212121,3.2753023208868273
141,12.20779220779221,3.275602387519159
142,12.294372294372295,3.2762
143,12.380952380952381,3.2765
144,12.467532467532468,3.2769
145,12.554112554112553,3.2772
146,12.640692640692638,3.2775
147,12.727272727272727,3.2778
148,12.813852813852813,3.278102734252167
149,12.900432900432898,3.2787
150,12.987012987012985,3.279
151,13.073593073593074,3.2793
152,13.16017316017316,3.2796
153,13.246753246753245,3.280003095017179
154,13.333333333333334,3.280303171441541
155,13.41991341991342,3.2809
156,13.506493506493506,3.2812
